avg,mapped_wreq,1-48,49-96,97-144,145-192,193-240,241-288,289-336,337-384,385-432,433-480,481-528,529-576,577-624,625-672,673-720,721-768,769-816,817-864,865-912,913-960,961-1008,1009-1056,1057-1104,1105-1152,1153-1200,1201-1248,1249-1296,1297-1344,1345-1392,1393-1440
23,"{""mean"": 2, ""bench"": ""disk-seq-0ebf93f8938852c"", ""payload"": ""{\""byte_size\"": 4096, \""file_size\"": 1}""}",1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
111,"{""mean"": 59, ""bench"": ""gzip-ad2ebb2666f4c4877b4"", ""payload"": ""{\""file_size\"": 1}""}",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
174,"{""mean"": 59, ""bench"": ""gzip-ad2ebb2666f4c4877b4"", ""payload"": ""{\""file_size\"": 1}""}",1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
399,"{""mean"": 59, ""bench"": ""gzip-ad2ebb2666f4c4877b4"", ""payload"": ""{\""file_size\"": 1}""}",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1970,"{""mean"": 59, ""bench"": ""gzip-ad2ebb2666f4c4877b4"", ""payload"": ""{\""file_size\"": 1}""}",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
131,"{""mean"": 59, ""bench"": ""gzip-ad2ebb2666f4c4877b4"", ""payload"": ""{\""file_size\"": 1}""}",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
122,"{""mean"": 59, ""bench"": ""gzip-ad2ebb2666f4c4877b4"", ""payload"": ""{\""file_size\"": 1}""}",1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
124,"{""mean"": 59, ""bench"": ""gzip-ad2ebb2666f4c4877b4"", ""payload"": ""{\""file_size\"": 1}""}",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
86,"{""mean"": 59, ""bench"": ""gzip-ad2ebb2666f4c4877b4"", ""payload"": ""{\""file_size\"": 1}""}",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2732,"{""mean"": 59, ""bench"": ""gzip-ad2ebb2666f4c4877b4"", ""payload"": ""{\""file_size\"": 1}""}",0,1,5,5,3,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
